state,seat1990,seat2000,seat2010,seat2011,seat2012,seat2013,seat2014,seat2015,seat2016,seat2017
alabama,8,8,8,8,8,8,8,8,7,7
alaska,1,1,1,1,1,1,1,1,1,1
arizona,7,9,10,10,10,10,10,11,11,11
arkansas,5,5,5,5,5,5,5,5,5,5
california,60,60,60,60,60,60,61,60,60,60
colorado,7,8,8,8,8,8,8,8,9,9
connecticut,7,6,6,6,6,6,6,6,6,6
delaware,1,1,2,2,2,2,2,2,2,2
florida,26,29,30,31,31,31,31,31,32,32
georgia,13,15,16,16,16,16,16,16,16,16
hawaii,2,2,2,2,2,2,2,2,2,2
idaho,2,2,3,3,3,3,3,3,3,3
illinois,23,22,21,21,20,20,20,20,20,20
indiana,11,11,11,10,10,10,10,10,10,10
iowa,6,5,5,5,5,5,5,5,5,5
kansas,5,5,5,5,5,5,5,5,4,4
kentucky,7,7,7,7,7,7,7,7,7,7
louisiana,9,8,7,7,7,7,7,7,7,7
maine,3,2,2,2,2,2,2,2,2,2
maryland,10,9,9,9,9,9,9,9,9,9
massachusetts,12,11,11,11,11,11,11,11,11,11
michigan,19,18,16,16,16,16,16,15,15,15
minnesota,9,9,9,9,9,9,9,9,9,9
mississippi,5,5,5,5,5,5,5,5,5,5
missouri,10,10,10,10,10,10,9,9,9,9
montana,2,2,2,2,2,2,2,2,2,2
nebraska,3,3,3,3,3,3,3,3,3,3
nevada,2,4,4,4,4,4,4,4,5,5
new-hampshire,2,2,2,2,2,2,2,2,2,2
new-jersey,16,15,14,14,14,14,14,14,14,14
new-mexico,3,3,3,3,3,3,3,3,3,3
new-york,36,34,31,31,31,31,31,31,30,30
north-carolina,13,14,15,15,16,16,16,16,16,16
north-dakota,1,1,1,1,1,1,1,1,1,1
ohio,22,20,19,19,18,18,18,18,18,18
oklahoma,6,6,6,6,6,6,6,6,6,6
oregon,6,6,6,6,6,6,6,6,6,6
pennsylvania,24,22,21,20,20,20,20,20,20,20
rhode-island,2,2,2,2,2,2,2,2,2,2
south-carolina,7,7,8,8,8,8,8,8,8,8
south-dakota,1,1,1,1,1,1,1,1,1,1
tennessee,10,10,10,10,10,10,10,10,10,10
texas,34,37,41,41,42,42,42,43,43,43
utah,4,4,4,5,5,5,5,5,5,5
vermont,1,1,1,1,1,1,1,1,1,1
virginia,12,13,13,13,13,13,13,13,13,13
washington,10,11,11,11,11,11,11,11,11,11
west-virginia,4,3,3,3,3,3,3,3,3,3
wisconsin,10,10,9,9,9,9,9,9,9,9
wyoming,1,1,1,1,1,1,1,1,1,1
